"","properties.addl_addr","properties.architect","properties.const_date","properties.geo_addr","properties.name","properties.no_cbd","properties.nom_des","properties.num1_edit","properties.num2_edit","properties.num_orig","properties.objectid","properties.staff","properties.str_orig","properties.street","type","lat","lon","datetime"
"28","","","","2030 Baronne Street","","New Orleans","Designated",2030,2032,"2030-32",28,"BDB","Baronne Street","Baronne Street","Feature",29.9368469170111,-90.08125910734,NA
"29","","Unknown","1866","2103 Baronne Street","Coyle-Ryan House","New Orleans","Designated",2103,2105,"2103-05",29,"BDB","Baronne Street","Baronne Street","Feature",29.9369079949826,-90.0817288448847,1866-01-01T01:01
"30","","","","2219 Baronne Street","","New Orleans","Designated",2219,2121,"2219-21",30,"BDB","Baronne Street","Baronne Street","Feature",29.9361139034828,-90.0830815768804,NA
"31","","","","2232 Baronne Street","","New Orleans","Designated",2232,0,"2232",31,"BDB","Baronne Street","Baronne Street","Feature",29.9357103958574,-90.083072954353,NA
"32","","Unknown","1870","2617 Baronne Street","Hughes-Schexnayder House","New Orleans","Designated",2617,2621,"2617-21",32,"BDB","Baronne Street","Baronne Street","Feature",29.933437245127,-90.0861271113851,1870-01-01T01:01
"33","1200 Bienville Street","Unknown","","237 Basin Street","LuLu White","New Orleans","Designated",237,0,"0237",33,"BDB","Basin Street","Basin Street","Feature",29.9578900913803,-90.0722323555954,NA
"34","","Unknown","1810-20","2275 Bayou Road","Chauffe-Reeves House","New Orleans","Designated",2275,0,"2275",34,"BDB","Bayou Road","Bayou Road","Feature",29.9746093516047,-90.0746832768125,1810-01-01T01:01
"35","237 Basin Street","Unknown","","1200 Bienville Street","LuLu White's Saloon","New Orleans","Designated",1200,0,"1200",35,"BDB","Bienville Street","Bienville Street","Feature",29.9579205728442,-90.0722331369907,NA
"36","240 Crozat Street","Unknown","","1214 Bienville Street","Frank Early's ""My Place"" Saloon","New Orleans","Designated",1214,1216,"1214-16",36,"BDB","Bienville Street","Bienville Street","Feature",29.9580876253681,-90.0724608444986,NA
"37","","","","1012 Brooklyn Street","","New Orleans","Nominated",1012,0,"1012",37,"BDB","Brooklyn Street","Brooklyn Street","Feature",29.9450962786801,-90.0532355594241,NA
"38","","Unknown","1845","842 Camp Street","Lenes-Uddo House","CBD","Designated",842,0,"0842",38,"BDB","Camp Street","Camp Street","Feature",29.9446584812343,-90.0705867946423,1845-01-01T01:01
"39","","Sully & Toledano","1889","929 Camp Street","Confederate Memorial Hall","CBD","Designated",929,933,"0929-33",39,"BDB","Camp Street","Camp Street","Feature",29.9434248158931,-90.0712909364434,1889-01-01T01:01
"40","","Unknown","1866","3643 Camp Street","Rice House-Fink House-Williams House","New Orleans","Designated",3643,0,"3643",40,"BDB","Camp Street","Camp Street","Feature",29.9229522866991,-90.0933227096404,1866-01-01T01:01
"41","","Unknown","1860","500 Canal Street","Montgomery-Katz-Gordon Buildings","CBD","Designated",500,504,"0500-04, 510-12",41,"BDB","Canal Street","Canal Street","Feature",29.9517884035562,-90.0675000693118,1860-01-01T01:01
"42","","Unknown","1860","510 Canal Street","Montgomery-Katz-Gordon Buildings","CBD","Designated",510,512,"0500-04, 510-12",42,"BDB","Canal Street","Canal Street","Feature",29.9519953555296,-90.0678260560214,1860-01-01T01:01
"43","","William A. Freret","1857","622 Canal Street","Merchants Mutual Insurance Co. Bldg.","CBD","Designated",622,0,"0622",43,"BDB","Canal Street","Canal Street","Feature",29.9528613442549,-90.0691568335087,1857-01-01T01:01
"44","115 St. Charles Avenue","Henry Howard","1875","700 Canal Street","Pickwick Club","CBD","Designated",700,710,"0700-10",44,"BDB","Canal Street","Canal Street","Feature",29.953049713231,-90.0694013685381,1875-01-01T01:01
"45","","Favrot & Livaudais","1906","714 Canal Street","Israel-Gindi Building","CBD","Designated",714,716,"0714-16",45,"BDB","Canal Street","Canal Street","Feature",29.9532232006542,-90.069696934303,1906-01-01T01:01
"46","","James Gallier, Sr.","1844","824 Canal Street","Boston Club","CBD","Designated",824,0,"0824",46,"BDB","Canal Street","Canal Street","Feature",29.9538731467125,-90.0706718619723,1844-01-01T01:01
"47","","Stone Brothers","1906-09","901 Canal Street","Maison Blanche Building","CBD","Designated",901,0,"0901",47,"BDB","Canal Street","Canal Street","Feature",29.9546605829728,-90.0708224233861,1906-01-01T01:01
"48","","Emile Weil","1926","1107 Canal Street","Saenger Theater","CBD","Designated",1107,1111,"1107-11",48,"BDB","Canal Street","Canal Street","Feature",29.9560573437733,-90.0728422046792,1926-01-01T01:01
"49","","Claude E. Hooton","1951","1501 Canal Street","Texaco Building","CBD","Designated",1501,0,"1501",49,"BDB","Canal Street","Canal Street","Feature",29.957741115322,-90.0752761863864,1951-01-01T01:01
"50","","Unknown","1889","1800 Canal Street","Orleans House-Orleans Parish Medical Society","New Orleans","Designated",1800,0,"1800",50,"BDB","Canal Street","Canal Street","Feature",29.95956723688,-90.0790729873512,1889-01-01T01:01
"51","","Dreyfous, Sieferth & Gilbert","1956","2640 Canal Street","IBM Building","New Orleans","Designated",2640,0,"2640",51,"BDB","Canal Street","Canal Street","Feature",29.9648278425611,-90.0869990593638,1956-01-01T01:01
"52","","Parham and Labuisse","1966","2650 Canal Street","Whitney Bank Building, Broad Street Bank","New Orleans","Designated",2650,0,"2650",52,"BDB","Canal Street","Canal Street","Feature",29.9650115573694,-90.0872658490875,1966-01-01T01:01
"53","","Lagarde & Burke","1910-11","2940 Canal Street","Canal Street Branch/New Orleans Public Library","New Orelans","Designated",2940,0,"2940",53,"BDB","Canal Street","Canal Street","Feature",29.9673342294449,-90.0905721172274,1910-01-01T01:01
"54","","","","3620 Canal Street","Block Keller House","New Orleans","Nominated",3620,0,"3620",54,"BDB","Canal Street","Canal Street","Feature",29.9714862562307,-90.0966994000008,NA
"55","","August Perez and Associates","1953","3700 Canal Street","Grace Episcopal Church","New Orleans","Designated",3700,0,"3700",55,"BDB","Canal Street","Canal Street","Feature",29.9718748786473,-90.0972510601683,1953-01-01T01:01
"56","","Curtis and Davis","1963","4140 Canal Street","Automotive Life Building","New Orleans","Designated",4140,0,"4140",56,"BDB","Canal Street","Canal Street","Feature",29.9747852544904,-90.1019756845351,1963-01-01T01:01
"57","","Favrot and Reed Architects","1949","4176 Canal Street","Singer Sewing Company","New Orleans","Designated",4176,0,"4176",57,"BDB","Canal Street","Canal Street","Feature",29.9752509411576,-90.1024354539568,1949-01-01T01:01
"58","","H. Jordan MacKenzie","1915","4506 Canal Street","Kane Residence","New Orleans","Nominated",4506,0,"4506",58,"BDB","Canal Street","Canal Street","Feature",29.9774364175126,-90.1054764473096,1915-01-01T01:01
"59","","","","4800 Canal Street","","New Orleans","Nominated",4800,0,"4800",59,"BDB","Canal Street","Canal Street","Feature",29.9792857122942,-90.1081178261001,NA
"60","","Albert Huber","1931","4841 Canal Street","Hope Mausoleum","New Orleans","Designated",4841,0,"4841",60,"BDB","Canal Street","Canal Street","Feature",29.9800473345083,-90.1082983673174,1931-01-01T01:01
"61","","Moise Goldstein","1928-29","200 Carondelet Street","National American Bank","CBD","Designated",200,0,"0200",61,"BDB","Carondelet Street","Carondelet Street","Feature",29.9524827752025,-90.0708921856611,1928-01-01T01:01
"62","","Favrot & Livaudais","1920-21","301 Carondelet Street","Hibernia Bank Building","CBD","Designated",301,0,"0301",62,"BDB","Carondelet Street","Carondelet Street","Feature",29.9519065875781,-90.071369156862,1920-01-01T01:01
"63","802-22 Perdido Street","Lewis Reynolds","1858","401 Carondelet Street","Factor's Row","CBD","Designated",401,415,"0401-15",63,"BDB","Carondelet Street","Carondelet Street","Feature",29.9506587669209,-90.0717235895663,1858-01-01T01:01
"64","","","","1200 Carondelet Street","","New Orleans","Designated",1200,1206,"1200-06",64,"BDB","Carondelet Street","Carondelet Street","Feature",29.941882346862,-90.0750802841486,NA
"65","","Unknown","1828-29","1418 Govenor Nicholls Street","Meilleur-Goldthwaite-Lansford House","New Orleans","Designated",1418,0,"1418",171,"BDB","Govenor Nicholls Street","Govenor Nicholls Street","Feature",29.9665408541287,-90.0678738013545,1828-01-01T01:01
"66","1125 N. Tonti Street","Unknown","1866 & 1890's","2410 Govenor Nicholls Street","Lafon Home, Odyssey House","New Orleans","Designated",2410,2412,"2410-12",172,"BDB","Govenor Nicholls Street","Govenor Nicholls Street","Feature",29.9723192642769,-90.0763214472607,1866-01-01T01:01
"67","","Lewis E. Reynolds","1860","822 Gravier Street","Gravier Row","CBD","Designated",822,828,"0822-28",173,"BDB","Gravier Street","Gravier Street","Feature",29.9521057311944,-90.0718380197955,1860-01-01T01:01
"68","","","","2600 Gravier Street","Falstaff Brewery","New Orleans","Nominated",2600,0,"2600",174,"BDB","Gravier Street","Gravier Street","Feature",29.9600039738917,-90.0904891921832,NA
"69","","","","7722 Hampson Street","Thompson-Pugh House","New Orleans","Nominated",7722,0,"7722",175,"BDB","Hampson Street","Hampson Street","Feature",29.9414456380654,-90.130675265503,NA
"70","","","","Hayne Boulevard","Hayne Boulevard Camps","New Orleans","Nominated",0,0,"",176,"BDB","Hayne Boulevard Camps","Hayne Boulevard","Feature",30.0455217985923,-89.994007711958,NA
"71","","Br. Leonard with William Burk","1912","720 Henry Clay Avenue","St. Clare's Monastery","New Orleans","Designated",720,0,"0720",177,"BDB","Henry Clay Avenue","Henry Clay Avenue","Feature",29.9229677469224,-90.1251497513083,1912-01-01T01:01
"72","","Thomas Sully","1895","1234 Henry Clay Avenue","Ellermann-Gore House","New Orleans","Designated",1234,0,"1234",178,"BDB","Henry Clay Avenue","Henry Clay Avenue","Feature",29.9274264022578,-90.1227117975471,1895-01-01T01:01
"73","St. Louis Cemetery #1","","","425 Basin Street","Tomb of Marie Laveau","New Orleans","Nominated",425,0,"",324,"KAF","Basin Street","Basin Streeet","Feature",29.959068610482,-90.071277152663,NA
"74","1600 S Peters Street","","","337 Market Street","Market Street Power Plant","New Orleans","Nominated",337,0,"0337",329,"KAF","Market Street","Market Street","Feature",29.9296629661898,-90.0644959154296,NA
"75","","","","1201 Carondelet Street","","New Orleans","Designated",1201,1203,"1201-03",65,"BDB","Carondelet Street","Carondelet Street","Feature",29.9420436369432,-90.0752695799453,NA
"76","","","","1207 Carondelet Street","","New Orleans","Designated",1207,1209,"1207-09",66,"BDB","Carondelet Street","Carondelet Street","Feature",29.9419213423221,-90.0753380877041,NA
"77","","","","1209 Carondelet Street","","New Orleans","Designated",1209,1215,"1209-15",67,"BDB","Carondelet Street","Carondelet Street","Feature",29.9418921119651,-90.0753874995883,NA
"78","","","","1221 Carondelet Street","","New Orleans","Designated",1221,0,"1221",68,"BDB","Carondelet Street","Carondelet Street","Feature",29.9417068445786,-90.0755223289702,NA
"79","","","","1508 Carondelet Street","","New Orleans","Designated",1508,0,"1508",69,"BDB","Carondelet Street","Carondelet Street","Feature",29.9394940244061,-90.0768246232087,NA
"80","","","","1510 Carondelet Street","","New Orleans","Designated",1510,0,"1510",70,"BDB","Carondelet Street","Carondelet Street","Feature",29.9394140293852,-90.0768459795197,NA
"81","","","","1519 Carondelet Street","","New Orleans","Designated",1519,0,"1519",71,"BDB","Carondelet Street","Carondelet Street","Feature",29.9394854198461,-90.0771786143174,NA
"82","","Emile Weil","1924","1616 Carondelet Street","New Home Missionary Baptist Church","New Orleans","Designated",1616,0,"1616",72,"BDB","Carondelet Street","Carondelet Street","Feature",29.9385912193671,-90.0773804242881,1924-01-01T01:01
"83","","Unknown","1867","2003 Carondelet Street","Huntington House","New Orleans","Designated",2003,2005,"2003-05",73,"BDB","Carondelet Street","Carondelet Street","Feature",29.9364075150206,-90.0799616384911,1867-01-01T01:01
"84","","Henry Thiberge","1859","2027 Carondelet Street","Leathers Buck House","New Orleans","Designated",2027,0,"2027",74,"BDB","Carondelet Street","Carondelet Street","Feature",29.9361009307473,-90.0804487038489,1859-01-01T01:01
"85","","Unknown","1850","2120 Carondelet Street","Philips House","New Orleans","Designated",2120,0,"2120",75,"BDB","Carondelet Street","Carondelet Street","Feature",29.9351835070885,-90.0807572573325,1850-01-01T01:01
"86","","","","2207 Carondelet Street","","New Orleans","Designated",2207,2209,"2207-09",76,"BDB","Carondelet Street","Carondelet Street","Feature",29.9348849918537,-90.0817013418685,NA
"87","","Emile Weil","1926","2230 Carondelet Street","Congregation Agudath Achim Anshe Sfard","New Orleans","Designated",2230,0,"2230",77,"BDB","Carondelet Street","Carondelet Street","Feature",29.9343906054093,-90.0819251336396,1926-01-01T01:01
"88","","Frederick Wing","1868","2805 Carondelet Street","Armstrong-Danna House","New Orleans","Designated",2805,0,"2805",78,"BDB","Carondelet Street","Carondelet Street","Feature",29.9318477523085,-90.0869515724377,1868-01-01T01:01
"89","","Edward Gottheil","1868","3627 Carondelet Street","Bullitt-Longenecker House","New Orleans","Designated",3627,0,"3627",79,"BDB","Carondelet Street","Carondelet Street","Feature",29.9287139689613,-90.0949478359466,1868-01-01T01:01
"90","","","1910","962 N Carrollton Avenue","Daussat Residence","New Orleans","Nominated",962,0,"962",80,"BDB","Carrollton Avenue (North)","N Carrollton Avenue","Feature",29.9812789967841,-90.0928774197384,1910-01-01T01:01
"91","","Unknown","1849","1015 S Carrollton Avenue","Wilkinson-Bruno House","New Orleans","Designated",1015,0,"1015",81,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9457995542395,-90.1308020364299,1849-01-01T01:01
"92","","Jones, Roessle & Olschner","1926","1138 S Carrollton Avenue","Marine Bank & Trust, Carrollton Branch","New Orleans","Designated",1138,1140,"1138-40",82,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9473212050802,-90.1300293527188,1926-01-01T01:01
"93","","","1921","1200 S Carrollton Avenue","Whitney Bank","New Orleans","Designated",1200,0,"1200",83,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9475499247949,-90.1297596066129,1921-01-01T01:01
"94","","Thomas Sully","1893","1305 S Carrollton Avenue","Sully Smith House","New Orleans","Designated",1305,0,"1305",84,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9479503647706,-90.128568390099,1893-01-01T01:01
"95","","Thomas Sully","1901","1531 S Carrollton Avenue","Sully-Wormuth-Langfels Residence","New Orleans","Designated",1531,0,"1531",85,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9497266043278,-90.1266620461667,1901-01-01T01:01
"96","","Unknown","1899","1537 S Carrollton Avenue","Weston Ward House","New Orleans","Designated",1537,0,"1537",86,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9498094688557,-90.126547365615,1899-01-01T01:01
"97","","William Thiel","1868-69","938 Lafayette Street","Turner's Hall","CBD","Designated",938,0,"0938",87,"KAF","Lafayette Street","Lafayette Street","Feature",29.9490127163227,-90.0743482699056,1868-01-01T01:01
"98","","","","2632 Lapeyrouse Street","Viavant House","New Orleans","Nominated",2632,0,"2632",88,"KAF","Lapeyrouse Street","Lapeyrouse Street","Feature",29.9796472992289,-90.0762169919217,NA
"99","","Unknown","Unknown","2836 Lasalle Street","Dew Drop Inn","New Orleans","Designated",2836,0,"2836",89,"KAF","Lasalle Street","Lasalle Street","Feature",29.9369209267488,-90.0916719989393,NA
"100","","Unknown","1838","3232 Laurel Street","Cotton-Davenport House","New Orleans","Designated",3232,0,"3232",90,"KAF","Laurel Street","Laurel Street","Feature",29.9217099510829,-90.0862707356727,1838-01-01T01:01
"101","","","","4838 Laurel Street","","New Orleans","Nominated",4838,0,"4838",91,"KAF","Laurel Street","Laurel Street","Feature",29.9181184967186,-90.1068191548011,NA
"102","","Gallier & Esterbrook","1865","1432 Leda Court","Luling Mansion/Jockey Club","New Orleans","Designated",1432,0,"1432",92,"KAF","Leda Court","Leda Court","Feature",29.9826588526994,-90.0863236925843,1865-01-01T01:01
"103","","William Woodward","1898","443 Lowerline Street","Green House","New Orleans","Designated",443,0,"0443",93,"KAF","Lowerline Street","Lowerline Street","Feature",29.9359803105024,-90.1297860287223,1898-01-01T01:01
"104","","Unknown","1869","535 Lowerline Street","Fischer-Martin House","New Orleans","Designated",535,0,"0535",94,"KAF","Lowerline Street","Lowerline Street","Feature",29.9376276205021,-90.1285989990853,1869-01-01T01:01
"105","","","","1173 Magazine Street","","New Orleans","Nominated",1173,0,"1173",95,"KAF","Magazine Street","Magazine Street","Feature",29.9395509171963,-90.0710442716801,NA
"106","","Gallier & Turpin","1853","2319 Magazine Street","Turpin-Buja House","New Orleans","Designated",2319,0,"2319",96,"KAF","Magazine Street","Magazine Street","Feature",29.9288366412026,-90.0782110725108,1853-01-01T01:01
"107","","Unknown","1859","2323 Magazine Street","Forcheimer-Harris House","New Orleans","Designated",2323,0,"2323",97,"KAF","Magazine Street","Magazine Street","Feature",29.92873367853,-90.0783626689935,1859-01-01T01:01
"108","","Howard & Thiberge","1860","2331 Magazine Street","Mayer-de lal Guerroniere Houses","New Orleans","Designated",2331,2333,"2331-33",98,"KAF","Magazine Street","Magazine Street","Feature",29.9286567896488,-90.0784799328464,1860-01-01T01:01
"109","","Thomas Sully","1887-88","3000 Magazine Street","Protestant Orphans' Home","New Orleans","Designated",3000,0,"3000",99,"KAF","Magazine Street","Magazine Street","Feature",29.924711062558,-90.0847442051249,1887-01-01T01:01
"110","","Unknown","1881-83","3607 Magazine Street","Cockerton House","New Orleans","Designated",3607,0,"3607",100,"KAF","Magazine Street","Magazine Street","Feature",29.9222079134944,-90.0919189660472,1881-01-01T01:01
"111","","Thomas Sully","1885-86","4636 Magazine Street","Valence Street Baptist Church","New Orleans","Designated",4636,0,"4636",101,"KAF","Magazine Street","Magazine Street","Feature",29.9204226144955,-90.1047445491297,1885-01-01T01:01
"112","","Unknown","1844-45","7835 Maple Street","Reverand J.B. Warren House","New Orleans","Designated",7835,0,"7835",102,"KAF","Maple Street","Maple Street","Feature",29.9431096355173,-90.1308265860185,1844-01-01T01:01
"113","","Unknown","1903","1934 Marengo Street","Walther-Wahlig House","New Orleans","Designated",1934,0,"1934",103,"KAF","Marengo Street","Marengo Street","Feature",29.9305234748243,-90.0992455641267,1903-01-01T01:01
"114","","Nathanial Curtis","1963","6161 Marquette Place","The Nathanial Curtis Residence","New Orleans","Designated",6161,0,"6161",105,"KAF","Marquette Place","Marquette Place","Feature",29.9333690586466,-90.1183563344413,1963-01-01T01:01
"115","","Unknown","1816","924 Moss Street","Blanc-Erlanger House","New Orelans","Designated",924,0,"0924",106,"KAF","Moss Street","Moss Street","Feature",29.9775004833591,-90.088458705684,1816-01-01T01:01
"116","","Unknown","1784","1300 Moss Street","Spanish Custom House/De Matteo House","New Orleans","Designated",1300,0,"1300",107,"KAF","Moss Street","Moss Street","Feature",29.9801768747512,-90.0867817985502,1784-01-01T01:01
"117","","Unknown","1834","1342 Moss Street","Evaristte Blanc House","New Orleans","Designated",1342,0,"1342",108,"KAF","Moss Street","Moss Street","Feature",29.9809199632218,-90.08709563443,1834-01-01T01:01
"118","","Unknown","1850","1347 Moss Street","Morel-Stytz House","New Orleans","Designated",1347,0,"1347",109,"KAF","Moss Street","Moss Street","Feature",29.9804438855897,-90.0889937567126,1850-01-01T01:01
"119","","Unknown","1799-1800","1440 Moss Street","Pitot House","New Orleans","Designated",1440,0,"1440",110,"KAF","Moss Street","Moss Street","Feature",29.9819290970148,-90.0891396183392,1799-01-01T01:01
"120","","William A. Freret","1875-76","923 Napoleon Avenue","McDonough No. 6 School/St. Georges Episcopal Schoo","New Orleans","Designated",923,0,"0923",111,"KAF","Napoleon Avenue","Napoleon Avenue","Feature",29.9216237903712,-90.1007511920602,1875-01-01T01:01
"121","","Thomas Carter","1871-88","1025 Napoleon Avenue","St. Stephen's Roman Catholic Church","New Orleans","Designated",1025,0,"1025",112,"KAF","Napoleon Avenue","Napoleon Avenue","Feature",29.9225105555481,-90.1012688504668,1871-01-01T01:01
"122","","Thomas Mulligan & Albert Diettel","1865-83","1314 Napoleon Avenue","St. Elizabeth's Children's Home","New Orleans","Designated",1314,0,"1314",113,"KAF","Napoleon Avenue","Napoleon Avenue","Feature",29.9246046433906,-90.1023109526724,1865-01-01T01:01
"123","","E.A. Christy","1917","1501 Napoleon Avenue","Fire Company #34 - Velez House","New Orleans","Designated",1501,0,"1501",114,"KAF","Napoleon Avenue","Napoleon Avenue","Feature",29.9258182893713,-90.1016904303255,1917-01-01T01:01
"124","","Unknown","1922","3915 Napoleon Avenue","Hardie Fattel House","New Orleans","Designated",3915,0,"3915",115,"KAF","Napoleon Avenue","Napoleon Avenue","Feature",29.9486707056684,-90.1039709970481,1922-01-01T01:01
"125","","Albert Diettel","1869-72","1139 O.C. Haley Boulevard","St. John The Baptist Church","New Orleans","Designated",1139,0,"1139",116,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9439213402065,-90.0774278097057,1869-01-01T01:01
"126","","","","1141 O.C. Haley Boulevard","St. John's Church Rectory","New Orleans","Designated",1141,0,"1141",117,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9436296870046,-90.0776073355255,NA
"127","","","","1228 O.C. Haley Boulevard","","New Orleans","Designated",1228,1230,"1228-30",118,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9427643538736,-90.0777772873511,NA
"128","","Unknown","1922-23","2140 S Carrollton Avenue","Nix-Arensman House","New Orleans","Designated",2140,0,"2140",119,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9543769428082,-90.1225116079143,1922-01-01T01:01
"129","1743 S. Peters","","","401 Celeste Street","","New Orleans","Designated",401,0,"0401",120,"BDB","Celeste Street","Celeste Street","Feature",29.9277734774503,-90.0657642732996,NA
"130","","","","406 Celeste Street","","New Orelans","Designated",406,450,"0406-50",121,"BDB","Celeste Street","Celeste Street","Feature",29.927641193347,-90.0659819490862,NA
"131","","","","601 Celeste Street","","New Orleans","Designated",601,621,"0601-21",122,"BDB","Celeste Street","Celeste Street","Feature",29.9282880677273,-90.0680969857413,NA
"132","","Unknown","1826","3933 Chartres Street","Lombard-Davis House","New Orleans","Designated",3933,0,"3933",123,"BDB","Chartres Street","Chartres Street","Feature",29.9607839296828,-90.0369941007516,1826-01-01T01:01
"133","","Unknown","1862","3531 Chestnut Street","Seward-Ryniker House","New Orleans","Designated",3531,0,"3531",124,"BDB","Chestnut Street","Chestnut Street","Feature",29.924284010389,-90.0922690939289,1862-01-01T01:01
